,CAS,SMILES,Exp. CF,Pred. CF,Exp. Conc. (mmol/ml),Pred. Conc. (mmol/ml)
56,57808-65-8,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,1.96521,1.5457721,0.0006032454605779,0.0007669325888033
57,10236-47-2,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.87149,0.8799957,0.0006821247151354,0.0006755315318509
58,22839-47-0,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,0.22215,0.23674414,0.0014678549949542,0.0013773632060558
59,131-57-7,COc1ccc(C(=O)c2ccccc2)c(O)c1,0.95508,0.779837,0.001857636683067,0.0022750732278471
60,117467-28-4,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,1.21967,1.9190385,0.0006701732623422,0.000425937745038
61, 50-04-4,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,0.3682,0.29450017,0.0010534501735459,0.0013170820619392
62,630-56-8,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.29679,0.28342056,0.0009892373773077,0.0009870255604223
63,18916-17-1,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c(C(=O)CCc4ccc(O)cc4)c(O)c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.91296,0.9391879,0.0007278282737252,0.0007075037798642
64,128794-94-5,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0.66594,0.7685375,0.0008858111053953,0.0007675605696028
65,50-24-8,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.40158,0.36221588,0.0011763073935358,0.0013041442264767
66,6990-06-3,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,0.2213,0.12302832,0.0007586328352547,0.0013646130132349
67,73536-69-3,COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2,1.20716,1.1654987,0.0010134957476204,0.0010497263485413
68,35607-66-0,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,0.46482,0.39719826,0.0010106208768071,0.001182666726827
69,495-69-2,O=C(O)CNC(=O)c1ccccc1,0.37211,0.38017574,0.0022994279335844,0.002250619057647
70,62-44-2,CCOc1ccc(NC(C)=O)cc1,0.50335,0.5106861,0.0023658205882188,0.002331835285097
71,1195-16-0,CC(=O)NC1CCSC1=O,0.12223,0.10006235,0.0025626530996796,0.0029462071165026
72,491-67-8,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,1.06164,1.2151937,0.0013765541740674,0.0012026116914703
73,165800-03-3,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,0.42029,0.5783215,0.0011027090478463,0.0008013746298703
74,60-80-0,Cc1cc(=O)n(-c2ccccc2)n1C,0.47037,0.42058858,0.0020400573766137,0.0022815070655004
75,17692-31-8,OCC(O)CN1CCN(c2ccccc2)CC1,0.36505,0.40441063,0.0017434356684933,0.0015737409541531
76,1508-75-4,CCN(Cc1ccncc1)C(=O)C(CO)c1ccccc1,0.38228,0.26358607,0.0014348060022717,0.001876882805258
77,106266-06-2,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,0.70315,0.7442062,0.0009744380537548,0.0009206743483055
78,77191-36-7,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0.40689,0.43190476,0.001656449190045,0.0015605074645669
79,49562-28-9,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,0.94516,0.92751074,0.0011639604586004,0.0011861032779939
80,112885-41-3,CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,0.91663,0.86273694,0.0009954965631666,0.0010576799084163
81,21256-18-8,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.98247,0.86109495,0.0014045997231711,0.0016025788455511
82,50-23-7,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,0.33069,0.2682603,0.001048374192338,0.0012923453921495
83,14222-60-7,CCCc1cc(C(N)=S)ccn1,0.50208,0.50222564,0.0023519492333976,0.0023512589012462
84,163222-33-1,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,0.80587,0.7318694,0.0009769632075656,0.0010757464240562
85,93413-62-8,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,0.26239,0.317122,0.0016098351817329,0.0013319804660354
86,68767-14-6,CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,0.33565,0.27936497,0.001623996167369,0.0017755784259362
87,122320-73-4,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0.94319,0.7616225,0.0011190845888063,0.0013304361191231
88,1247-42-3,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.39657,0.30918688,0.0010954167013459,0.0014050067092777
89,638-94-8,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,0.39232,0.3036594,0.0009603518729262,0.0012283326258983
90,3093-35-4,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,0.28377,0.3004202,0.0008791865765793,0.00083046404518
